"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1774469266936652118","Sun Mar 31 17:27:45 +0000 2024","1","@Dimasbravia1102 Draw 0-0 Dimas ... ","1774488767728091415","","Dimasbravia1102","lt","Kota Bandung","0","1","0","https://x.com/Maulana90458814/status/1774488767728091415","1390499869236731906","Maulana90458814"
"1774431664514683208","Sun Mar 31 17:26:55 +0000 2024","0","@ailurophilos toss dulu","1774488559480959309","","ailurophilos","in","soc","0","0","0","https://x.com/dimasgetmail/status/1774488559480959309","4163495112","dimasgetmail"
"1774431664514683208","Sun Mar 31 17:26:45 +0000 2024","0","@wiishmeeluuck wahh keren ya","1774488517961494919","","wiishmeeluuck","in","soc","0","1","0","https://x.com/dimasgetmail/status/1774488517961494919","4163495112","dimasgetmail"
"1774094099068666135","Sun Mar 31 17:26:30 +0000 2024","0","@wiishmeeluuck Bahaya ta","1774488453264314551","","wiishmeeluuck","in","soc","0","0","0","https://x.com/dimasgetmail/status/1774488453264314551","4163495112","dimasgetmail"
"1774209955509493771","Sun Mar 31 17:23:42 +0000 2024","0","@icikiwir_08 @golkar_id @airlangga_hrt @prabowogibran2 Waktu gw SD THN 90an Pernah merasakan makan siang Gratis . biasanya habis olah Raga dan senam SKJ","1774487750777184462","","romoatheist","in","Bekasi Timur, Indonesia","0","0","0","https://x.com/DimasGP2/status/1774487750777184462","1040809057920049152","DimasGP2"
"1774486879657927156","Sun Mar 31 17:20:15 +0000 2024","0","Yatuhan Trossard","1774486879657927156","","","in","rumah pager item","0","0","0","https://x.com/DimasAcong/status/1774486879657927156","177842782","DimasAcong"
"1774469266936652118","Sun Mar 31 17:19:52 +0000 2024","1","@Maulana90458814 Dimas Jago in Mancester City aja Sedang taruhan sama. Daddy ","1774486783268667461","","Maulana90458814","in","Jakarta Selatan  🇲🇨","0","1","0","https://x.com/Dimasbravia1102/status/1774486783268667461","1315667947877142528","Dimasbravia1102"
"1774486745889017938","Sun Mar 31 17:19:51 +0000 2024","9","Video musik About a Boy sepertinya jadi video musik Ballads of the Cliche yang menampilkan wajah setiap personil. Gak pede sebenernya tapi yah namanya udah dibikinin gratisan masa mau protes juga https://t.co/WG6cdDpB4G","1774486780164849834","","dimasario","in","","2","2","1","https://x.com/dimasario/status/1774486780164849834","16021313","dimasario"
"1774486745889017938","Sun Mar 31 17:19:50 +0000 2024","4","Berikut penjelasan Angga yang saya screenshot dari email mengenai video musik About a Boy https://t.co/CTl2d2DyIf","1774486776562004026","https://pbs.twimg.com/media/GKA-UOKaQAAzgwY.jpg","dimasario","in","","0","2","0","https://x.com/dimasario/status/1774486776562004026","16021313","dimasario"
"1774486745889017938","Sun Mar 31 17:19:48 +0000 2024","2","Kelanjutan perkenalan itu Angga menawarkan untuk buatin video musik untuk lagu About a Boy secara cuma-cuma. Sebagai band kere yang cukup lucky bastard tentunya kami menerima rejeki tersebut dengan penuh suka cita.","1774486766843732432","","dimasario","in","","0","1","0","https://x.com/dimasario/status/1774486766843732432","16021313","dimasario"
"1774486766684368923","Sun Mar 31 17:19:48 +0000 2024","2","Selamat paskah untuk pacarku tercintaaa","1774486766684368923","","","in","","0","0","0","https://x.com/dimaskeple/status/1774486766684368923","1237228844706234368","dimaskeple"
"1774486745889017938","Sun Mar 31 17:19:47 +0000 2024","3","Sewaktu premier film saya dan teman-teman Ballads of the Cliche berkenalan dengan Angga Sasongko yang saat itu kayaknya baru merintis karirnya sebagai sutradara. Keterlibatan Angga di CAS waktu itu sebagai asisten sutradara dari Hanung Bramantyo.","1774486763865784823","","dimasario","in","","0","1","0","https://x.com/dimasario/status/1774486763865784823","16021313","dimasario"
"1774486745889017938","Sun Mar 31 17:19:46 +0000 2024","3","Film CAS rilis di bulan Maret 2005 dan kalau gak salah soundtracknya juga dirilis bersamaan. Lagu I Remember ciptaan kak @rikoprayitn0 dengan bandnya Mocca yang didaulat jadi focus track album yang juga dibikinin video musiknya.","1774486761131081781","","dimasario","in","","0","2","1","https://x.com/dimasario/status/1774486761131081781","16021313","dimasario"
"1774486745889017938","Sun Mar 31 17:19:46 +0000 2024","4","Dari awal saya membayangkan lagu ini ada string section. Untung ada fee produksi jadi bisa hire pemain string. String direkam di studio Aru milik Ari Renaldi yang kini sebagai produser Tulus Yura Yunita dll. Mas Ari juga yang mixingin lagu About a Boy ini.","1774486758375448839","","dimasario","in","","0","1","1","https://x.com/dimasario/status/1774486758375448839","16021313","dimasario"
"1774486745889017938","Sun Mar 31 17:19:45 +0000 2024","9","Setelah membaca skenarionya kepikiran untuk buat lagu yang dapat mewakili para tokoh utama di film. Setelah melodi dan bagan lagu tercipta saya lalu memberikan demo mentah kepada vokalis Bobby Alvianto yang kemudian menulis liriknya. Bobby juga yang memberi judul About a Boy https://t.co/XEBph6zfGX","1774486754931949994","https://pbs.twimg.com/media/GKA-TBUbkAATFid.jpg","dimasario","in","","0","3","1","https://x.com/dimasario/status/1774486754931949994","16021313","dimasario"
"1774486745889017938","Sun Mar 31 17:19:43 +0000 2024","445","Circa 2004 tiba-tiba Ballads of the Cliche dapet tawaran dari FFWD Records untuk ngisi soundtrack sebuah film mengenai anak SMA. Setelah menerima tawaran tersebut kami dikirimin hard copy skenario film tersebut yang ternyata berjudul Catatan Akhir Sekolah (CAS). https://t.co/cI4jOxj93y","1774486745889017938","https://pbs.twimg.com/media/GKA-STmbEAAcD0A.jpg","","in","","7","14","103","https://x.com/dimasario/status/1774486745889017938","16021313","dimasario"
